,Comparisons,PC1_Weights,PC2_Weights,PC1_magnitude,PC2_magnitude,PC1_mag_norm,PC2_mag_norm
25209,411-422,0.333,0.444,0.111,0.197,1.0,1.0
25126,409-424,0.097,-0.222,0.009,0.049,0.085,0.249
4377,66-75,0.133,0.197,0.018,0.039,0.159,0.196
13545,167-168,-0.151,0.196,0.023,0.039,0.206,0.196
23929,376-426,-0.099,0.178,0.01,0.032,0.089,0.16
24984,406-413,-0.104,0.148,0.011,0.022,0.098,0.112
25160,410-411,-0.112,-0.146,0.012,0.021,0.113,0.108
21869,328-403,0.113,0.14,0.013,0.02,0.116,0.1
25578,425-426,0.008,0.142,0.0,0.02,0.001,0.102
25545,424-425,-0.047,0.125,0.002,0.016,0.02,0.08
